Model,TBS2104
Firmware Version,v1.26.0
,
Point Format,Y
Horizontal Units,S
Horizontal Scale,0.01
Sample Interval,8.00E-05
Filter Frequency,1.00E+08
Record Length,2000
Gating,0.0% to 100.0%
Probe Attenuation,10
Vertical Units,V
Vertical Offset,0
Vertical Scale,2
Label,
TIME,CH1
-7.44E-03,1.89414
-7.36E-03,2.21445
-7.28E-03,1.29453
-7.20E-03,1.1082
-7.12E-03,1.20547
-7.04E-03,1.29023
-6.96E-03,1.41367
-6.88E-03,1.50156
-6.80E-03,1.48672
-6.72E-03,1.46719
-6.64E-03,1.31602
-6.56E-03,1.14844
-6.48E-03,1.05391
-6.40E-03,0.988672
-6.32E-03,0.907031
-6.24E-03,0.991406
-6.16E-03,0.951172
-6.08E-03,1.02734
-6.00E-03,0.996875
-5.92E-03,1.06133
-5.84E-03,0.966016
-5.76E-03,0.897266
-5.68E-03,0.898437
-5.60E-03,0.746875
-5.52E-03,0.730469
-5.44E-03,0.775391
-5.36E-03,0.735547
-5.28E-03,0.732031
-5.20E-03,0.780859
-5.12E-03,0.752734
-5.04E-03,0.697266
-4.96E-03,0.688281
-4.88E-03,0.703516
-4.80E-03,0.724609
-4.72E-03,0.701172
-4.64E-03,0.713281
-4.56E-03,0.708984
-4.48E-03,0.755859
-4.40E-03,0.803906
-4.32E-03,0.759766
-4.24E-03,0.816016
-4.16E-03,0.726562
-4.08E-03,0.723828
-4.00E-03,0.791016
-3.92E-03,0.766406
-3.84E-03,0.737891
-3.76E-03,0.738281
-3.68E-03,0.726562
-3.60E-03,0.770312
-3.52E-03,0.759766
-3.44E-03,0.764844
-3.36E-03,0.755078
-3.28E-03,0.780859
-3.20E-03,0.815234
-3.12E-03,0.775391
-3.04E-03,0.727734
-2.96E-03,0.833203
-2.88E-03,0.831641
-2.80E-03,0.8
-2.72E-03,0.814453
-2.64E-03,0.726953
-2.56E-03,0.786328
-2.48E-03,0.744922
-2.40E-03,0.751953
-2.32E-03,0.739453
-2.24E-03,0.701953
-2.16E-03,0.746484
-2.08E-03,0.785547
-2.00E-03,0.747656
-1.92E-03,0.791406
-1.84E-03,0.769922
-1.76E-03,0.78125
-1.68E-03,0.808203
-1.60E-03,0.839844
-1.52E-03,0.802344
-1.44E-03,0.743359
-1.36E-03,0.808203
-1.28E-03,0.771484
-1.20E-03,0.782812
-1.12E-03,0.818359
-1.04E-03,0.803516
-9.60E-04,0.73125
-8.80E-04,0.756641
-8.00E-04,0.784375
-7.20E-04,0.725
-6.40E-04,0.754687
-5.60E-04,0.776562
-4.80E-04,0.766797
-4.00E-04,0.785547
-3.20E-04,0.801953
-2.40E-04,9.04258
-1.60E-04,6.06367
-8.00E-05,4.68984
8.13E-17,3.90352
8.00E-05,3.49531
1.60E-04,2.92227
2.40E-04,2.62187
3.20E-04,2.14102
4.00E-04,1.84414
4.80E-04,1.60195
5.60E-04,1.36719
6.40E-04,1.08867
7.20E-04,1.08281
8.00E-04,1.01055
8.80E-04,1.01875
9.60E-04,1.06953
1.04E-03,1.18008
1.12E-03,1.16875
1.20E-03,1.09336
1.28E-03,0.927734
1.36E-03,0.994922
1.44E-03,0.796484
1.52E-03,0.797266
1.60E-03,1.83516
1.68E-03,0.891016
1.76E-03,0.89375
1.84E-03,0.911328
1.92E-03,0.942578
2.00E-03,0.918359
2.08E-03,0.930078
2.16E-03,1.06719
2.24E-03,1.01172
2.32E-03,1.01016
2.40E-03,1.13359
2.48E-03,1.32812
2.56E-03,1.45586
2.64E-03,1.63477
2.72E-03,1.92773
2.80E-03,2.30898
2.88E-03,2.78828
2.96E-03,3.24766
3.04E-03,3.70039
3.12E-03,4.28008
3.20E-03,4.76797
3.28E-03,5.56133
3.36E-03,7.1293
3.44E-03,8.32852
3.52E-03,7.0043
3.60E-03,5.32266
3.68E-03,4.40586
3.76E-03,3.87773
3.84E-03,3.29961
3.92E-03,2.8668
4.00E-03,2.57461
4.08E-03,2.175
4.16E-03,1.83203
4.24E-03,1.66211
4.32E-03,1.42852
4.40E-03,1.18672
4.48E-03,1.08945
4.56E-03,0.988672
4.64E-03,0.942969
4.72E-03,0.96875
4.80E-03,0.864062
4.88E-03,0.803906
4.96E-03,0.822656
5.04E-03,0.74375
5.12E-03,0.758203
5.20E-03,0.758984
5.28E-03,0.775781
5.36E-03,1.76914
5.44E-03,1.27773
5.52E-03,1.4625
5.60E-03,1.36328
5.68E-03,1.26328
5.76E-03,1.27109
5.84E-03,1.10195
5.92E-03,1.0668
6.00E-03,0.955859
6.08E-03,0.881641
6.16E-03,0.779687
6.24E-03,0.866406
6.32E-03,0.830859
6.40E-03,0.933594
6.48E-03,1.10508
6.56E-03,1.48711
6.64E-03,1.95469
6.72E-03,2.45625
6.80E-03,2.90039
6.88E-03,3.45117
6.96E-03,4.0332
7.04E-03,4.75352
7.12E-03,5.80391
7.20E-03,7.21016
7.28E-03,7.59375
7.36E-03,5.59961
7.44E-03,4.33711
7.52E-03,3.80742
7.60E-03,3.23281
7.68E-03,2.89258
7.76E-03,2.64336
7.84E-03,2.31484
7.92E-03,2.04023
8.00E-03,1.73242
8.08E-03,1.35391
8.16E-03,1.30195
8.24E-03,1.06289
8.32E-03,0.9625
8.40E-03,0.80625
8.48E-03,0.754687
8.56E-03,0.806641
8.64E-03,0.757812
8.72E-03,0.749609
8.80E-03,0.717187
8.88E-03,0.691406
8.96E-03,0.776172
9.04E-03,0.717578
9.12E-03,1.90117
9.20E-03,0.982422
9.28E-03,0.739062
9.36E-03,0.871094
9.44E-03,0.884766
9.52E-03,0.876953
9.60E-03,0.810547
9.68E-03,0.905469
9.76E-03,0.926562
9.84E-03,0.891406
9.92E-03,0.957031
1.00E-02,0.953516
1.01E-02,1.10078
1.02E-02,1.425
1.02E-02,1.61875
1.03E-02,2.03906
1.04E-02,2.28711
1.05E-02,2.78555
1.06E-02,3.39805
1.06E-02,3.76484
1.07E-02,4.24453
1.08E-02,4.94375
1.09E-02,6.33516
1.10E-02,7.49648
1.10E-02,6.78398
1.11E-02,4.80977
1.12E-02,4.03047
1.13E-02,3.38242
1.14E-02,3.00352
1.14E-02,2.63359
1.15E-02,2.22891
1.16E-02,2.00195
1.17E-02,1.69336
1.18E-02,1.43281
1.18E-02,1.22812
1.19E-02,1.10898
1.20E-02,1.01367
1.21E-02,0.973047
1.22E-02,1.15039
1.22E-02,1.0918
1.23E-02,1.18164
1.24E-02,1.10703
1.25E-02,1.10937
1.26E-02,0.901562
1.26E-02,0.848047
1.27E-02,0.738672
1.28E-02,0.902734
1.29E-02,1.72422
1.30E-02,1.09687
1.30E-02,0.986328
1.31E-02,1.13125
1.32E-02,1.04609
1.33E-02,1.01914
1.34E-02,0.964453
1.34E-02,0.903906
1.35E-02,0.901562
1.36E-02,0.778125
1.37E-02,0.819922
1.38E-02,0.740625
1.38E-02,0.73125
1.39E-02,0.862891
1.40E-02,1.13008
1.41E-02,1.43203
1.42E-02,1.8543
1.42E-02,2.28828
1.43E-02,2.73164
1.44E-02,3.3375
1.45E-02,3.78984
1.46E-02,4.33359
1.46E-02,5.56133
1.47E-02,6.80703
1.48E-02,6.72148
1.49E-02,5.00273
1.50E-02,3.88398
1.50E-02,3.22734
1.51E-02,2.82461
1.52E-02,2.47305
1.53E-02,2.19961
1.54E-02,1.92109
1.54E-02,1.5832
1.55E-02,1.48047
1.56E-02,1.29141
1.57E-02,1.17852
1.58E-02,1.01641
1.58E-02,0.917578
1.59E-02,0.888281
1.60E-02,0.921094
1.61E-02,0.918359
1.62E-02,0.846484
1.62E-02,0.849219
1.63E-02,0.780859
1.64E-02,0.766016
1.65E-02,0.779687
1.66E-02,0.767578
1.66E-02,1.72461
1.67E-02,0.944922
1.68E-02,0.910547
1.69E-02,0.8875
1.70E-02,0.778516
1.70E-02,0.826562
1.71E-02,0.832812
1.72E-02,0.759766
1.73E-02,0.708984
1.74E-02,0.742969
1.74E-02,0.80625
1.75E-02,0.845312
1.76E-02,0.958984
1.77E-02,1.13242
1.78E-02,1.37383
1.78E-02,1.66602
1.79E-02,2.01328
1.80E-02,2.53281
1.81E-02,3.0043
1.82E-02,3.23516
1.82E-02,3.99922
1.83E-02,4.5375
1.84E-02,5.65898
1.85E-02,6.75859
1.86E-02,6.32031
1.86E-02,4.56094
1.87E-02,3.67695
1.88E-02,3.24844
1.89E-02,2.81836
1.90E-02,2.46406
1.90E-02,2.14609
1.91E-02,1.79648
1.92E-02,1.61445
1.93E-02,1.41211
1.94E-02,1.09961
1.94E-02,0.961719
1.95E-02,0.908203
1.96E-02,0.892969
1.97E-02,0.9625
1.98E-02,0.998047
1.98E-02,0.983984
1.99E-02,0.995703
