Model,TBS2104
Firmware Version,v1.26.0
,
Point Format,Y
Horizontal Units,S
Horizontal Scale,0.02
Sample Interval,0.00016
Filter Frequency,100000000
Record Length,2000
Gating,0.0% to 100.0%
Probe Attenuation,10
Vertical Units,V
Vertical Offset,0
Vertical Scale,10
Label,
TIME,CH1
-0.0712,0.925782
-0.07104,0.88672
-0.07088,0.919923
-0.07072,0.939454
-0.07056,0.953126
-0.0704,0.873048
-0.07024,0.873048
-0.07008,0.906251
-0.06992,0.916017
-0.06976,0.869142
-0.0696,0.816407
-0.06944,0.908204
-0.06928,0.957032
-0.06912,0.88672
-0.06896,0.863282
-0.0688,0.937501
-0.06864,0.914063
-0.06848,0.894532
-0.06832,0.878907
-0.06816,0.939454
-0.068,0.91211
-0.06784,0.91211
-0.06768,0.896485
-0.06752,0.894532
-0.06736,0.888673
-0.0672,0.85547
-0.06704,0.927735
-0.06688,0.863282
-0.06672,0.923829
-0.06656,0.904298
-0.0664,0.859376
-0.06624,0.875001
-0.06608,0.919923
-0.06592,0.916017
-0.06576,0.957032
-0.0656,0.914063
-0.06544,0.878907
-0.06528,0.833985
-0.06512,0.960938
-0.06496,0.923829
-0.0648,0.875001
-0.06464,0.933595
-0.06448,0.890626
-0.06432,0.91797
-0.06416,0.910157
-0.064,0.871095
-0.06384,0.876954
-0.06368,0.939454
-0.06352,0.98047
-0.06336,0.865235
-0.0632,0.91797
-0.06304,0.904298
-0.06288,0.921876
-0.06272,0.939454
-0.06256,0.876954
-0.0624,0.916017
-0.06224,0.986329
-0.06208,0.900392
-0.06192,0.947267
-0.06176,0.931642
-0.0616,0.927735
-0.06144,0.939454
-0.06128,0.875001
-0.06112,0.882813
-0.06096,0.820313
-0.0608,0.857423
-0.06064,0.937501
-0.06048,0.888673
-0.06032,0.931642
-0.06016,0.894532
-0.06,0.929688
-0.05984,0.931642
-0.05968,0.890626
-0.05952,0.98047
-0.05936,0.951173
-0.0592,0.904298
-0.05904,0.88672
-0.05888,0.892579
-0.05872,0.884767
-0.05856,0.914063
-0.0584,0.996095
-0.05824,0.88086
-0.05808,0.900392
-0.05792,0.84961
-0.05776,0.843751
-0.0576,0.781251
-0.05744,0.91211
-0.05728,0.882813
-0.05712,0.898438
-0.05696,0.878907
-0.0568,0.945313
-0.05664,0.845704
-0.05648,0.945313
-0.05632,0.976563
-0.05616,0.871095
-0.056,0.906251
-0.05584,0.906251
-0.05568,0.925782
-0.05552,0.933595
-0.05536,1.00781
-0.0552,0.853517
-0.05504,0.892579
-0.05488,0.81836
-0.05472,0.960938
-0.05456,0.931642
-0.0544,0.900392
-0.05424,0.888673
-0.05408,0.892579
-0.05392,0.931642
-0.05376,0.91797
-0.0536,1.02149
-0.05344,0.957032
-0.05328,0.884767
-0.05312,0.894532
-0.05296,1.00391
-0.0528,0.845704
-0.05264,0.929688
-0.05248,0.890626
-0.05232,0.853517
-0.05216,0.900392
-0.052,0.994142
-0.05184,0.94336
-0.05168,0.916017
-0.05152,0.939454
-0.05136,0.890626
-0.0512,0.914063
-0.05104,0.990235
-0.05088,0.931642
-0.05072,0.902345
-0.05056,0.900392
-0.0504,0.896485
-0.05024,0.916017
-0.05008,0.931642
-0.04992,0.871095
-0.04976,0.947267
-0.0496,0.986329
-0.04944,0.986329
-0.04928,0.988282
-0.04912,0.88672
-0.04896,0.925782
-0.0488,0.937501
-0.04864,0.968751
-0.04848,0.892579
-0.04832,0.921876
-0.04816,0.900392
-0.048,0.904298
-0.04784,0.863282
-0.04768,0.908204
-0.04752,0.935548
-0.04736,0.923829
-0.0472,0.876954
-0.04704,0.869142
-0.04688,0.865235
-0.04672,0.851563
-0.04656,0.820313
-0.0464,0.896485
-0.04624,0.927735
-0.04608,0.916017
-0.04592,0.984376
-0.04576,0.945313
-0.0456,0.927735
-0.04544,0.955079
-0.04528,0.929688
-0.04512,0.925782
-0.04496,0.939454
-0.0448,0.884767
-0.04464,0.904298
-0.04448,0.900392
-0.04432,0.914063
-0.04416,0.876954
-0.044,0.927735
-0.04384,0.863282
-0.04368,0.906251
-0.04352,0.876954
-0.04336,0.84961
-0.0432,0.85547
-0.04304,0.875001
-0.04288,0.88672
-0.04272,0.851563
-0.04256,0.91211
-0.0424,0.927735
-0.04224,0.82422
-0.04208,0.941407
-0.04192,0.976563
-0.04176,0.88672
-0.0416,0.919923
-0.04144,0.88086
-0.04128,0.957032
-0.04112,0.851563
-0.04096,0.921876
-0.0408,0.960938
-0.04064,0.884767
-0.04048,0.927735
-0.04032,0.861329
-0.04016,0.914063
-0.04,0.845704
-0.03984,0.931642
-0.03968,0.884767
-0.03952,0.861329
-0.03936,0.832032
-0.0392,0.867188
-0.03904,0.904298
-0.03888,0.931642
-0.03872,0.865235
-0.03856,0.957032
-0.0384,0.929688
-0.03824,0.802735
-0.03808,0.910157
-0.03792,0.781251
-0.03776,0.847657
-0.0376,0.888673
-0.03744,0.88086
-0.03728,0.900392
-0.03712,0.878907
-0.03696,0.890626
-0.0368,0.925782
-0.03664,0.894532
