Model,TBS2104
Firmware Version,v1.26.0
,
Point Format,Y
Horizontal Units,S
Horizontal Scale,0.02
Sample Interval,0.00016
Filter Frequency,1.00E+08
Record Length,2000
Gating,0.0% to 100.0%
Probe Attenuation,10
Vertical Units,V
Vertical Offset,0
Vertical Scale,5
Label,
TIME,CH1
3.90E-02,6.07715
3.92E-02,10.2461
3.94E-02,9.22656
3.95E-02,6.99512
3.97E-02,5.27441
3.98E-02,3.98242
4.00E-02,3.37598
4.02E-02,3.05371
4.03E-02,3.31055
4.05E-02,3.89941
4.06E-02,5.1377
4.08E-02,5.36914
4.10E-02,3.99902
4.11E-02,2.78027
4.13E-02,2.125
4.14E-02,1.93359
4.16E-02,2.08887
4.18E-02,2.63379
4.19E-02,3.18945
4.21E-02,4.01465
4.22E-02,5.83594
4.24E-02,12.5137
4.26E-02,11.2559
4.27E-02,8.17871
4.29E-02,6.05176
4.30E-02,4.55957
4.32E-02,3.50977
4.34E-02,3.1709
4.35E-02,3.375
4.37E-02,3.98242
4.38E-02,5
4.40E-02,4.72461
4.42E-02,3.52246
4.43E-02,2.49609
4.45E-02,2.01855
4.46E-02,1.87891
4.48E-02,1.98145
4.50E-02,2.30371
4.51E-02,2.71582
4.53E-02,3.05469
4.54E-02,5.08691
4.56E-02,10.957
4.58E-02,9.45703
4.59E-02,7.125
4.61E-02,5.43359
4.62E-02,4.15332
4.64E-02,3.41406
4.66E-02,2.97559
4.67E-02,3.12207
4.69E-02,3.79004
4.70E-02,4.38867
4.72E-02,4.22559
4.74E-02,3.14551
4.75E-02,2.40234
4.77E-02,2.0459
4.78E-02,2.09082
4.80E-02,2.54102
4.82E-02,3.2041
4.83E-02,4.03613
4.85E-02,5.05762
4.86E-02,7.6084
4.88E-02,11.5596
4.90E-02,8.09375
4.91E-02,6.35547
4.93E-02,4.91992
4.94E-02,3.89746
4.96E-02,3.30176
4.98E-02,2.90918
4.99E-02,3.13965
5.01E-02,3.84961
5.02E-02,4.16797
5.04E-02,3.75
5.06E-02,2.76367
5.07E-02,2.22852
5.09E-02,2.13574
5.10E-02,2.46289
5.12E-02,3.26758
5.14E-02,4.17578
5.15E-02,5.62988
5.17E-02,7.5918
5.18E-02,13.3057
5.20E-02,11.7812
5.22E-02,8.91699
5.23E-02,6.61426
5.25E-02,4.99707
5.26E-02,3.86328
5.28E-02,3.30371
5.30E-02,3.02344
5.31E-02,3.26758
5.33E-02,4.05859
5.34E-02,4.06152
5.36E-02,3.06543
5.38E-02,2.29785
5.39E-02,1.96191
5.41E-02,2.13672
5.42E-02,2.69336
5.44E-02,3.3291
5.46E-02,4.16797
5.47E-02,5.26367
5.49E-02,7.76074
5.50E-02,14.3535
5.52E-02,12.3154
5.54E-02,9.08398
5.55E-02,6.74512
5.57E-02,5.02734
5.58E-02,3.84473
5.60E-02,3.11133
5.62E-02,2.9082
5.63E-02,3.2334
5.65E-02,3.83789
5.66E-02,3.66406
5.68E-02,2.80859
5.70E-02,2.23438
5.71E-02,2.14844
5.73E-02,2.2373
5.74E-02,2.83984
5.76E-02,3.39551
5.78E-02,4.19629
5.79E-02,5.20215
5.81E-02,8.24023
5.82E-02,12.417
5.84E-02,10.6807
5.86E-02,8.04102
5.87E-02,6.15527
5.89E-02,4.61621
5.90E-02,3.53516
5.92E-02,2.91699
5.94E-02,2.87109
5.95E-02,3.12695
5.97E-02,3.36816
5.98E-02,3.29004
6.00E-02,2.65137
6.02E-02,2.32812
6.03E-02,2.13574
6.05E-02,2.48047
6.06E-02,3.19531
6.08E-02,4.12109
6.10E-02,5.45996
6.11E-02,6.8877
6.13E-02,9.62598
6.14E-02,13.8711
6.16E-02,9.7207
6.18E-02,7.54199
6.19E-02,5.67578
6.21E-02,4.42188
6.22E-02,3.4502
6.24E-02,2.88086
6.26E-02,2.75293
6.27E-02,3.16797
6.29E-02,3.30762
6.30E-02,2.99805
6.32E-02,2.25781
6.34E-02,2.02246
6.35E-02,2.19824
6.37E-02,2.78516
6.38E-02,3.68262
6.40E-02,4.77734
6.42E-02,6.41504
6.43E-02,8.68848
6.45E-02,15.3623
6.46E-02,13.4219
6.48E-02,9.94824
6.50E-02,7.43945
6.51E-02,5.58789
6.53E-02,4.22461
6.54E-02,3.35059
6.56E-02,2.90625
6.58E-02,2.77832
6.59E-02,3.22754
6.61E-02,3.18555
6.62E-02,2.56543
6.64E-02,1.98242
6.66E-02,1.95898
6.67E-02,2.40625
6.69E-02,3.15137
6.70E-02,3.93066
6.72E-02,4.85059
6.74E-02,6.3877
6.75E-02,9.23828
6.77E-02,15.6748
6.78E-02,13.1602
6.80E-02,9.65039
6.82E-02,7.20312
6.83E-02,5.30176
6.85E-02,3.85254
6.86E-02,3.1377
6.88E-02,2.6748
6.90E-02,2.67871
6.91E-02,3.00684
6.93E-02,2.83496
6.94E-02,2.24512
6.96E-02,2.07715
6.98E-02,2.20703
6.99E-02,2.60938
7.01E-02,3.27344
7.02E-02,4.11523
7.04E-02,5.33301
7.06E-02,6.6416
7.07E-02,10.3242
7.09E-02,13.625
7.10E-02,11.6084
7.12E-02,8.6582
7.14E-02,6.63965
7.15E-02,4.94141
7.17E-02,3.64453
7.18E-02,2.94238
7.20E-02,2.48535
7.22E-02,2.65918
7.23E-02,2.67676
7.25E-02,2.5957
7.26E-02,2.12109
7.28E-02,1.98828
7.30E-02,2.28223
7.31E-02,2.80078
7.33E-02,3.66406
7.34E-02,4.84082
7.36E-02,6.17188
7.38E-02,8.08301
7.39E-02,11.1865
7.41E-02,15.4883
7.42E-02,10.7549
7.44E-02,8.21484
7.46E-02,6.2666
7.47E-02,4.65137
7.49E-02,3.56543
7.50E-02,2.72754
7.52E-02,2.47559
7.54E-02,2.60645
7.55E-02,2.6416
7.57E-02,2.37793
7.58E-02,1.86426
7.60E-02,2.01855
7.62E-02,2.43652
7.63E-02,3.0957
7.65E-02,4.11133
7.66E-02,5.31836
7.68E-02,6.91504
7.70E-02,9.51074
7.71E-02,16.7373
7.73E-02,14.5166
7.74E-02,10.6016
7.76E-02,8.00977
7.78E-02,5.9082
7.79E-02,4.3584
7.81E-02,3.38184
7.82E-02,2.70605
7.84E-02,2.48535
7.86E-02,2.6582
7.87E-02,2.50879
7.89E-02,2.00977
7.90E-02,1.81055
7.92E-02,2.01074
7.94E-02,2.58496
7.95E-02,3.33398
7.97E-02,4.33496
7.98E-02,5.46777
8.00E-02,7.14551
8.02E-02,10.2422
8.03E-02,16.7822
8.05E-02,13.7314
8.06E-02,10.0674
8.08E-02,7.51953
8.10E-02,5.58203
8.11E-02,4.0498
8.13E-02,3.12793
8.14E-02,2.48047
8.16E-02,2.39258
8.18E-02,2.49316
8.19E-02,2.38672
8.21E-02,1.93555
8.22E-02,1.91699
8.24E-02,2.11914
8.26E-02,2.7793
8.27E-02,3.55176
8.29E-02,4.71387
8.30E-02,6.04004
8.32E-02,7.63965
8.34E-02,11.708
8.35E-02,14.415
8.37E-02,12.293
8.38E-02,9.21387
8.40E-02,6.95801
8.42E-02,5.25293
8.43E-02,3.80078
8.45E-02,2.89551
8.46E-02,2.27246
8.48E-02,2.20215
8.50E-02,2.25391
8.51E-02,2.1543
8.53E-02,1.84375
8.54E-02,1.83691
8.56E-02,2.28809
8.58E-02,3.16406
8.59E-02,3.95996
8.61E-02,5.22949
8.62E-02,6.79297
8.64E-02,8.89062
8.66E-02,12.0312
8.67E-02,16.5664
8.69E-02,11.5029
8.70E-02,8.84473
8.72E-02,6.5918
8.74E-02,4.80566
8.75E-02,3.6416
8.77E-02,2.83105
8.78E-02,2.29004
8.80E-02,2.33301
8.82E-02,2.21191
8.83E-02,1.97852
8.85E-02,1.70508
8.86E-02,1.94629
8.88E-02,2.47852
8.90E-02,3.25879
8.91E-02,4.24902
8.93E-02,5.64648
8.94E-02,7.43066
8.96E-02,10.1406
8.98E-02,17.8281
8.99E-02,15.2822
9.01E-02,11.1768
9.02E-02,8.44434
9.04E-02,6.22363
9.06E-02,4.5752
9.07E-02,3.31152
9.09E-02,2.5332
9.10E-02,2.23535
9.12E-02,2.18555
9.14E-02,2.17969
9.15E-02,1.74121
9.17E-02,1.6582
9.18E-02,1.98242
9.20E-02,2.69727
9.22E-02,3.48242
9.23E-02,4.61719
9.25E-02,5.86133
9.26E-02,7.67383
9.28E-02,11.1172
9.30E-02,17.5977
9.31E-02,14.126
9.33E-02,10.5176
9.34E-02,7.83496
9.36E-02,5.73926
9.38E-02,4.15527
9.39E-02,3.13867
9.41E-02,2.41113
9.42E-02,2.12207
9.44E-02,2.09375
9.46E-02,1.95508
9.47E-02,1.71582
9.49E-02,1.82812
9.50E-02,2.29395
9.52E-02,3.00586
9.54E-02,3.86523
9.55E-02,5.04688
9.57E-02,6.51074
9.58E-02,8.39355
9.60E-02,12.79
9.62E-02,15.1074
9.63E-02,12.8906
9.65E-02,9.67285
9.66E-02,7.28809
9.68E-02,5.29004
9.70E-02,3.9873
9.71E-02,2.94629
9.73E-02,2.25879
9.74E-02,2.0332
9.76E-02,1.85156
9.78E-02,1.79688
9.79E-02,1.68652
9.81E-02,1.89453
9.82E-02,2.27344
9.84E-02,3.14453
9.86E-02,4.22754
9.87E-02,5.5127
9.89E-02,7.25781
9.90E-02,9.5
9.92E-02,12.7627
9.94E-02,17.3213
9.95E-02,12.0156
9.97E-02,9.30176
9.98E-02,6.89551
1.00E-01,5.00586
1.00E-01,3.72559
1.00E-01,2.69727
1.01E-01,2.10742
1.01E-01,2.09668
1.01E-01,1.70996
