Model,TBS2104
Firmware Version,v1.26.0
,
Point Format,Y
Horizontal Units,S
Horizontal Scale,0.01
Sample Interval,8.00E-05
Filter Frequency,1.00E+08
Record Length,2000
Gating,0.0% to 100.0%
Probe Attenuation,10
Vertical Units,V
Vertical Offset,0
Vertical Scale,20
Label,
TIME,CH1
1.99E-02,4.09375
2.00E-02,3.26172
2.01E-02,3.68359
2.02E-02,4.42188
2.02E-02,5.09375
2.03E-02,5.61328
2.04E-02,6.46484
2.05E-02,7.52344
2.06E-02,8.38672
2.06E-02,9.41406
2.07E-02,10.9063
2.08E-02,13.2422
2.09E-02,17.3906
2.10E-02,17.6016
2.10E-02,13.4922
2.11E-02,11.0195
2.12E-02,9.39063
2.13E-02,8.12109
2.14E-02,7.29297
2.14E-02,6.12891
2.15E-02,5.21875
2.16E-02,3.9375
2.17E-02,2.78906
2.18E-02,2.24219
2.18E-02,2.98438
2.19E-02,2.94531
2.20E-02,4.42969
2.21E-02,5.37109
2.22E-02,6.44922
2.22E-02,7.17188
2.23E-02,7.64844
2.24E-02,9.08984
2.25E-02,10.3281
2.26E-02,12.6055
2.26E-02,16.5
2.27E-02,16.7734
2.28E-02,12.8203
2.29E-02,10.3867
2.30E-02,8.94141
2.30E-02,7.86328
2.31E-02,6.71484
2.32E-02,5.73047
2.33E-02,4.96875
2.34E-02,4.25781
2.34E-02,3.48438
2.35E-02,2.73828
2.36E-02,2.99219
2.37E-02,3.80859
2.38E-02,4.63281
2.38E-02,4.96875
2.39E-02,5.92188
2.40E-02,6.71484
2.41E-02,7.48438
2.42E-02,8.60547
2.42E-02,9.875
2.43E-02,11.8359
2.44E-02,15.6133
2.45E-02,15.9375
2.46E-02,12.1563
2.46E-02,9.76953
2.47E-02,8.5
2.48E-02,7.44531
2.49E-02,6.63281
2.50E-02,5.76172
2.50E-02,4.82422
2.51E-02,3.82422
2.52E-02,2.54688
2.53E-02,2.03906
2.54E-02,2.71875
2.54E-02,2.84766
2.55E-02,3.98047
2.56E-02,4.99609
2.57E-02,5.81641
2.58E-02,6.5
2.58E-02,7.26953
2.59E-02,8.01563
2.60E-02,9.31641
2.61E-02,11.1406
2.62E-02,14.582
2.62E-02,14.9102
2.63E-02,11.625
2.64E-02,9.48438
2.65E-02,8.11719
2.66E-02,7.07031
2.66E-02,6.02734
2.67E-02,5.30469
2.68E-02,4.46094
2.69E-02,3.77734
2.70E-02,3.01563
2.70E-02,2.29688
2.71E-02,2.78906
2.72E-02,3.07422
2.73E-02,3.83203
2.74E-02,4.60156
2.74E-02,5.25391
2.75E-02,6
2.76E-02,6.79688
2.77E-02,7.58594
2.78E-02,8.78125
2.78E-02,10.5391
2.79E-02,14.0039
2.80E-02,14.1797
2.81E-02,10.7031
2.82E-02,8.92969
2.82E-02,7.58984
2.83E-02,6.77344
2.84E-02,5.69531
2.85E-02,5.28906
2.86E-02,4.40234
2.86E-02,3.37109
2.87E-02,2.28125
2.88E-02,1.91797
2.89E-02,2.50781
2.90E-02,2.53125
2.90E-02,3.67188
2.91E-02,4.48438
2.92E-02,5.08203
2.93E-02,5.74219
2.94E-02,6.46094
2.94E-02,7.37891
2.95E-02,8.38281
2.96E-02,10.1016
2.97E-02,13.2969
2.98E-02,13.5391
2.98E-02,10.3594
2.99E-02,8.58203
3.00E-02,7.46875
3.01E-02,6.38281
3.02E-02,5.48047
3.02E-02,4.76953
3.03E-02,4.12109
3.04E-02,3.33594
3.05E-02,2.71875
3.06E-02,1.90625
3.06E-02,2.44141
3.07E-02,2.51953
3.08E-02,3.51563
3.09E-02,4.08594
3.10E-02,4.69141
3.10E-02,5.54688
3.11E-02,6.21875
3.12E-02,7.07813
3.13E-02,8.00781
3.14E-02,9.67969
3.14E-02,12.7695
3.15E-02,12.6094
3.16E-02,9.89453
3.17E-02,8.23828
3.18E-02,7.09375
3.18E-02,6.35156
3.19E-02,5.39844
3.20E-02,4.66797
3.21E-02,4.04688
3.22E-02,3.14844
3.22E-02,2.20703
3.23E-02,2.0625
3.24E-02,2.41797
3.25E-02,2.28516
3.26E-02,3.18359
3.26E-02,4.21875
3.27E-02,4.92969
3.28E-02,5.53125
3.29E-02,5.92969
3.30E-02,6.84375
3.30E-02,7.64063
3.31E-02,9.25781
3.32E-02,12.125
3.33E-02,12.2383
3.34E-02,9.29688
3.34E-02,7.80859
3.35E-02,6.82031
3.36E-02,6.04688
3.37E-02,5.20703
3.38E-02,4.43359
3.38E-02,3.71484
3.39E-02,3.19531
3.40E-02,2.31641
3.41E-02,1.82422
3.42E-02,2.33984
3.42E-02,2.36719
3.43E-02,2.91797
3.44E-02,3.88281
3.45E-02,4.52344
3.46E-02,5.24219
3.46E-02,5.6875
3.47E-02,6.52734
3.48E-02,7.39063
3.49E-02,8.86328
3.50E-02,11.6953
3.50E-02,11.7148
3.51E-02,9.16016
3.52E-02,7.60938
3.53E-02,6.47266
3.54E-02,5.80078
3.54E-02,5.05078
3.55E-02,4.55859
3.56E-02,3.78125
3.57E-02,2.89844
3.58E-02,2.15234
3.58E-02,1.78516
3.59E-02,2.51172
3.60E-02,2.22266
3.61E-02,2.99219
3.62E-02,3.85547
3.62E-02,4.41797
3.63E-02,4.98047
3.64E-02,5.63281
3.65E-02,6.41797
3.66E-02,7.14063
3.66E-02,8.44141
3.67E-02,11.25
3.68E-02,11.2813
3.69E-02,8.72266
3.70E-02,7.33203
3.70E-02,6.25391
3.71E-02,5.71094
3.72E-02,4.74219
3.73E-02,4.10156
3.74E-02,3.48828
3.74E-02,2.76563
3.75E-02,2.08984
3.76E-02,1.91406
3.77E-02,1.67578
3.78E-02,1.37891
3.78E-02,1.48047
3.79E-02,1.71875
3.80E-02,1.52734
3.81E-02,1.20313
3.82E-02,1.19141
3.82E-02,1.16406
3.83E-02,1.1875
3.84E-02,1.13672
3.85E-02,1.04297
3.86E-02,1.08984
3.86E-02,1.24609
3.87E-02,0.984375
,
