Model,TBS2104
Firmware Version,v1.26.0
,
Point Format,Y
Horizontal Units,S
Horizontal Scale,0.02
Sample Interval,0.00016
Filter Frequency,1.00E+08
Record Length,2000
Gating,0.0% to 100.0%
Probe Attenuation,10
Vertical Units,V
Vertical Offset,0
Vertical Scale,5
Label,
TIME,CH1
-1.22E-01,0.9375
-1.21E-01,0.904297
-1.21E-01,0.75
-1.21E-01,0.72754
-1.21E-01,0.75
-1.21E-01,0.72461
-1.21E-01,0.736329
-1.21E-01,0.753907
-1.20E-01,0.792969
-1.20E-01,0.753907
-1.20E-01,0.635743
-1.20E-01,0.749024
-1.20E-01,0.567383
-1.20E-01,0.802735
-1.19E-01,0.778321
-1.19E-01,0.726563
-1.19E-01,0.725586
-1.19E-01,0.933594
-1.19E-01,0.780274
-1.19E-01,0.762696
-1.18E-01,0.759766
-1.18E-01,0.738282
-1.18E-01,0.749024
-1.18E-01,0.907227
-1.18E-01,0.936524
-1.18E-01,0.778321
-1.17E-01,0.577149
-1.17E-01,1.10059
-1.17E-01,0.933594
-1.17E-01,0.754883
-1.17E-01,0.620118
-1.17E-01,1.12207
-1.17E-01,0.963868
-1.16E-01,0.772461
-1.16E-01,0.934571
-1.16E-01,0.919922
-1.16E-01,1.13086
-1.16E-01,0.759766
-1.16E-01,1.10254
-1.15E-01,0.947266
-1.15E-01,0.948243
-1.15E-01,1.14453
-1.15E-01,0.751954
-1.15E-01,0.791993
-1.15E-01,0.749024
-1.14E-01,1.07422
-1.14E-01,1.14063
-1.14E-01,0.97168
-1.14E-01,0.969727
-1.14E-01,0.90918
-1.14E-01,0.778321
-1.13E-01,1.14258
-1.13E-01,0.933594
-1.13E-01,0.766602
-1.13E-01,0.772461
-1.13E-01,1.10059
-1.13E-01,0.783204
-1.13E-01,0.917969
-1.12E-01,0.931641
-1.12E-01,0.738282
-1.12E-01,0.920899
-1.12E-01,0.739258
-1.12E-01,0.612305
-1.12E-01,0.892579
-1.11E-01,0.788086
-1.11E-01,0.919922
-1.11E-01,0.569336
-1.11E-01,0.904297
-1.11E-01,0.723633
-1.11E-01,0.764649
-1.10E-01,0.753907
-1.10E-01,0.922852
-1.10E-01,0.765625
-1.10E-01,0.759766
-1.10E-01,0.735352
-1.10E-01,0.972657
-1.09E-01,0.816407
-1.09E-01,0.580079
-1.09E-01,0.802735
-1.09E-01,0.745118
-1.09E-01,0.779297
-1.09E-01,0.776368
-1.09E-01,0.597657
-1.08E-01,1.14063
-1.08E-01,0.75
-1.08E-01,0.75
-1.08E-01,0.916993
-1.08E-01,0.932618
-1.08E-01,0.919922
-1.07E-01,0.918946
-1.07E-01,1.00098
-1.07E-01,0.768555
-1.07E-01,0.762696
-1.07E-01,0.961915
-1.07E-01,0.9375
-1.06E-01,0.772461
-1.06E-01,0.933594
-1.06E-01,1.0752
-1.06E-01,0.917969
-1.06E-01,1.10254
-1.06E-01,1.10156
-1.05E-01,0.958008
-1.05E-01,0.772461
-1.05E-01,0.759766
-1.05E-01,0.950196
-1.05E-01,0.79004
-1.05E-01,0.75586
-1.05E-01,0.918946
-1.04E-01,0.928711
-1.04E-01,0.920899
-1.04E-01,0.754883
-1.04E-01,0.739258
-1.04E-01,1.10156
-1.04E-01,0.707032
-1.03E-01,0.78711
-1.03E-01,0.720704
-1.03E-01,0.592774
-1.03E-01,0.767579
-1.03E-01,0.729493
-1.03E-01,0.765625
-1.02E-01,0.961915
-1.02E-01,0.791016
-1.02E-01,0.780274
-1.02E-01,0.792969
-1.02E-01,0.739258
-1.02E-01,0.605469
-1.01E-01,0.779297
-1.01E-01,0.5625
-1.01E-01,0.973633
-1.01E-01,0.922852
-1.01E-01,0.779297
-1.01E-01,0.972657
-1.01E-01,0.948243
-1.00E-01,0.958008
-1.00E-01,0.944336
-1.00E-01,1.04981
-9.98E-02,0.934571
-9.97E-02,1.11523
-9.95E-02,1.12598
-9.94E-02,0.975586
-9.92E-02,0.920899
-9.90E-02,0.761719
-9.89E-02,0.918946
-9.87E-02,0.804688
-9.86E-02,1.0918
-9.84E-02,0.947266
-9.82E-02,0.961915
-9.81E-02,1.10645
-9.79E-02,0.775391
-9.78E-02,0.763672
-9.76E-02,0.944336
-9.74E-02,0.932618
-9.73E-02,1.09375
-9.71E-02,0.904297
-9.70E-02,0.778321
-9.68E-02,0.934571
-9.66E-02,0.978516
-9.65E-02,0.764649
-9.63E-02,0.72754
-9.62E-02,0.897461
-9.60E-02,1.0752
-9.58E-02,0.902344
-9.57E-02,0.736329
-9.55E-02,0.762696
-9.54E-02,0.760743
-9.52E-02,0.799805
-9.50E-02,0.917969
-9.49E-02,0.778321
-9.47E-02,0.623047
-9.46E-02,0.764649
-9.44E-02,0.962891
-9.42E-02,0.934571
-9.41E-02,1.12988
-9.39E-02,0.616211
-9.38E-02,0.779297
-9.36E-02,0.945313
-9.34E-02,0.778321
-9.33E-02,0.764649
-9.31E-02,0.804688
-9.30E-02,0.804688
-9.28E-02,0.800782
-9.26E-02,0.788086
-9.25E-02,0.94629
